time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-13T20:08:21.794Z,41.8758,-126.9856,10,3.2,ml,,203,2.082,0.72,us,us70006nru,2020-01-15T19:38:05.040Z,"220km WSW of Gold Beach, Oregon",earthquake,9.5,2,0.043,71,reviewed,us,us
2019-07-03T13:17:24.430Z,41.3181667,-126.7893333,9.62,3.12,md,15,306,2.04,0.13,nc,nc73205546,2019-07-04T04:06:02.447Z,"221km WSW of Crescent City, CA",earthquake,1.25,31.61,0.186,23,reviewed,nc,nc
2019-05-17T17:08:01.548Z,40.6735,-127.1801,12.66,3.3,ml,,254,2.174,0.67,us,us70003mn1,2019-08-07T22:03:45.040Z,"246km W of Ferndale, California",earthquake,5.9,9.4,0.045,64,reviewed,us,us
2019-05-09T07:14:43.195Z,40.6272,-127.3873,10,3.1,ml,,265,2.328,0.7,us,us70003iqs,2019-08-01T17:15:06.040Z,"264km W of Ferndale, California",earthquake,9.4,2,0.051,50,reviewed,us,us
2019-05-05T07:05:29.817Z,40.6774,-126.7318,10,3.1,ml,,260,2.006,0.63,us,us70003gxp,2019-07-25T18:54:20.040Z,"209km W of Ferndale, California",earthquake,5.4,2,0.047,60,reviewed,us,us
2019-05-05T06:46:57.006Z,40.6203,-127.3338,10,5,mww,,252,2.287,0.69,us,us70003gxb,2020-02-23T06:57:20.337Z,"259km W of Ferndale, California",earthquake,8.8,2,0.033,86,reviewed,us,us
2019-01-25T01:40:58.950Z,40.6224,-127.3185,10,3,ml,,267,2.276,1.1,us,us2000j8m6,2019-04-12T17:14:48.040Z,"258km W of Ferndale, California",earthquake,4.8,2,0.052,48,reviewed,us,us
2018-12-11T13:34:03.540Z,42.2724,-126.9069,10,3.1,ml,,273,1.991,0.29,us,us2000iuq2,2019-02-16T22:29:04.040Z,"204km WSW of Port Orford, Oregon",earthquake,11.3,2,0.052,48,reviewed,us,us
2018-12-11T06:33:56.860Z,42.3517,-126.5191,10,3,ml,,295,1.707,0.6,us,us2000isfp,2019-02-16T22:29:04.040Z,"171km WSW of Port Orford, Oregon",earthquake,10.2,2,0.062,34,reviewed,us,us
2018-11-16T10:44:58.850Z,42.3344,-126.8885,10,4.3,mb,,185,1.979,1.32,us,us1000hsnv,2019-01-30T18:36:25.040Z,"201km WSW of Port Orford, Oregon",earthquake,5.9,2,0.081,66,reviewed,us,us
2018-11-16T06:41:39.960Z,42.3724,-126.4818,10,3.8,mb,,212,1.681,0.82,us,us1000hske,2019-01-30T18:36:25.040Z,"168km WSW of Port Orford, Oregon",earthquake,7.8,2,0.192,7,reviewed,us,us
2018-11-16T05:21:57.810Z,42.3753,-126.6854,10,4.5,mb,,184,1.831,1.2,us,us1000hsji,2019-01-30T18:36:24.040Z,"184km WSW of Port Orford, Oregon",earthquake,6.8,1.9,0.089,37,reviewed,us,us
2018-11-16T05:19:19.360Z,42.263,-126.8955,10,4.1,mb,,200,1.983,0.72,us,us1000hsjg,2019-01-30T18:36:24.040Z,"204km W of Gold Beach, Oregon",earthquake,8.5,2,0.12,19,reviewed,us,us
2018-11-16T05:10:00.130Z,42.2852,-126.6826,10,3.9,mb,,214,1.825,0.94,us,us1000hsj9,2019-01-30T18:36:24.040Z,"186km W of Gold Beach, Oregon",earthquake,8.6,2,0.171,9,reviewed,us,us
2018-10-31T05:17:22.920Z,42.3895,-126.8077,10,2.9,ml,,303,1.923,0.85,us,us2000i4f4,2019-01-21T14:29:40.040Z,"193km W of Port Orford, Oregon",earthquake,5.1,2,0.057,40,reviewed,us,us
2018-08-25T15:27:00.700Z,42.9752,-126.4737,10,3.1,ml,,236,1.826,0.75,us,us1000gh9g,2018-11-01T17:50:58.040Z,"163km W of Port Orford, Oregon",earthquake,9,2,0.043,72,reviewed,us,us
2018-08-05T20:31:46.320Z,42.4194,-126.4232,10,2.6,ml,,239,1.642,0.65,us,us1000g3x7,2018-10-16T15:34:13.040Z,"162km WSW of Port Orford, Oregon",earthquake,4.7,2,0.046,62,reviewed,us,us
2018-07-24T18:57:16.900Z,42.0333,-126.6122,10,3.6,mb,,248,1.784,1.23,us,us2000gf7p,2018-10-09T16:43:29.040Z,"185km WSW of Gold Beach, Oregon",earthquake,9,2,0.25,5,reviewed,us,us
